params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",33.27797099999998,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""discount_factor"": 0.1}",36.11238400000002,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""discount_factor"": 0.2}",31.719869000000017,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""discount_factor"": 0.3}",34.51484099999993,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""discount_factor"": 0.4}",33.75401499999998,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""discount_factor"": 0.5}",33.69712500000003,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""discount_factor"": 0.6}",37.76830800000005,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""discount_factor"": 0.7}",39.36008800000002,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""discount_factor"": 0.8}",37.20797900000002,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""discount_factor"": 0.9}",13.891178000000082,100,-0.013162131069943184,-0.013289183222958058,-0.016792452830188678,-0.007407407407407406,0.0017822412594331518
